locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_1480,Synpcc7942_1480,CP000100.1,,1531194,1531748,-,conserved hypothetical protein,"Replication, recombination and repair",Q31N59,Op1118
Synpcc7942_1481,hisH,CP000100.1,,1531745,1532398,-,imidazole glycerol phosphate synthase subunit hisH,Amino acid transport and metabolism,Q31N58,Op1118
Synpcc7942_1482,Synpcc7942_1482,CP000100.1,,1532605,1534170,+,conserved hypothetical protein,Cell motility,Q31N57,Op1119
Synpcc7942_1483,Synpcc7942_1483,CP000100.1,,1534449,1534877,-,conserved hypothetical protein,No COG annotation,Q31N56,Op1120
Synpcc7942_1484,murE,CP000100.1,,1534874,1536367,-,UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,Q31N55,Op1120
Synpcc7942_1485,Synpcc7942_1485,CP000100.1,,1536407,1536673,-,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Q31N54,Op1120
Synpcc7942_1486,Synpcc7942_1486,CP000100.1,,1536664,1536912,-,Protein of unknown function DUF37,Function unknown,Q31N53,Op1120
Synpcc7942_1487,rpsD,CP000100.1,,1536986,1537594,+,SSU ribosomal protein S4P,"Translation, ribosomal structure and biogenesis",Q31N52,Op1121
Synpcc7942_1488,cmpA,CP000100.1,,1538545,1539897,+,membrane protein,Inorganic ion transport and metabolism,P39660,Op1122
Synpcc7942_1489,cmpB,CP000100.1,,1539953,1540789,+,nitrate transport permease,Inorganic ion transport and metabolism,Q55106,Op1122
Synpcc7942_1490,cmpC,CP000100.1,,1540818,1542809,+,nitrate transport ATP-binding subunits C and D,Inorganic ion transport and metabolism,Q55107,Op1122
Synpcc7942_1491,cmpD,CP000100.1,,1542834,1543670,+,nitrate transport ATP-binding subunits C and D,Inorganic ion transport and metabolism,Q55108,Op1122
Synpcc7942_1492,Synpcc7942_1492,CP000100.1,,1543923,1544507,+,conserved hypothetical protein,Function unknown,Q31N47,Op1123
Synpcc7942_1493,mazG,CP000100.1,,1544514,1545353,+,MazG family protein,Function unknown,Q31N46,Op1123
Synpcc7942_1494,Synpcc7942_1494,CP000100.1,,1545382,1546095,-,conserved hypothetical protein,Function unknown,Q31N45,Op1124
Synpcc7942_1495,Synpcc7942_1495,CP000100.1,,1546123,1546650,-,conserved hypothetical protein,Function unknown,Q31N44,Op1124
Synpcc7942_1496,argB,CP000100.1,,1546647,1547552,-,N-acetylglutamate kinase,Nucleotide transport and metabolism,Q6V1L5,Op1124
Synpcc7942_1497,Synpcc7942_1497,CP000100.1,,1547545,1548105,-,conserved hypothetical protein,Function unknown,Q31N42,Op1124
Synpcc7942_1498,Synpcc7942_1498,CP000100.1,,1548207,1548410,+,hypothetical protein,No COG annotation,Q31N41,Op1125
Synpcc7942_1499,petF1,CP000100.1,,1548631,1548930,-,Ferredoxin (2Fe-2S),Energy production and conversion,P0A3D2,Op1126
Synpcc7942_1500,prmA,CP000100.1,,1549179,1550078,-,LSU ribosomal protein L11P methyltransferase,"Translation, ribosomal structure and biogenesis",Q31N39,Op1127
Synpcc7942_1501,serA,CP000100.1,,1550078,1551718,-,D-3-phosphoglycerate dehydrogenase,Amino acid transport and metabolism,Q31N38,Op1127
Synpcc7942_1502,Synpcc7942_1502,CP000100.1,,1551742,1552302,+,conserved hypothetical protein,No COG annotation,Q31N37,Op1128
Synpcc7942_1503,Synpcc7942_1503,CP000100.1,,1552303,1553082,+,RNA-binding S4,Function unknown,Q31N36,Op1128
Synpcc7942_1504,Synpcc7942_1504,CP000100.1,,1553330,1554718,+,conserved hypothetical protein,Function unknown,Q31N35,Op1129
Synpcc7942_1505,leuB,CP000100.1,,1554839,1555936,-,3-isopropylmalate dehydrogenase,Coenzyme transport and metabolism,Q31N34,Op1130
Synpcc7942_1506,Synpcc7942_1506,CP000100.1,,1556097,1556513,-,conserved hypothetical protein,Function unknown,Q31N33,Op1131
Synpcc7942_1507,lipA1,CP000100.1,,1557396,1558331,-,lipoic acid synthetase,Coenzyme transport and metabolism,Q31N32,Op1132
Synpcc7942_1508,Synpcc7942_1508,CP000100.1,,1558484,1559209,-,conserved hypothetical protein,No COG annotation,Q31N31,Op1133
Synpcc7942_1509,mnmA,CP000100.1,,1559329,1560402,+,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,"Translation, ribosomal structure and biogenesis",Q31N30,Op1134
Synpcc7942_1510,sigF1,CP000100.1,,1560399,1561178,-,group3 RNA polymerase sigma factor SigF,Transcription,Q31N29,Op1135
Synpcc7942_1511,Synpcc7942_1511,CP000100.1,,1561467,1561904,-,conserved hypothetical protein,Function unknown,Q31N28,Op1136
Synpcc7942_1512,zds1,CP000100.1,,1561944,1563389,-,zeta-carotene desaturase,Function unknown,Q31N27,Op1136
Synpcc7942_1513,dxr,CP000100.1,,1563532,1564740,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,Q31N26,Op1137
Synpcc7942_1514,rsuA2,CP000100.1,,1564750,1565349,+,Pseudouridine synthase%2C Rsu,"Translation, ribosomal structure and biogenesis",Q31N25,Op1137
Synpcc7942_1515,Synpcc7942_1515,CP000100.1,,1565391,1566290,+,protein serine/threonine phosphatase,Signal transduction mechanisms,Q31N24,Op1138
Synpcc7942_1516,pgam2,CP000100.1,,1566324,1566971,-,phosphoglycerate mutase,Carbohydrate transport and metabolism,Q31N23,Op1139
Synpcc7942_1517,hik34,CP000100.1,,1566943,1568316,-,histidine kinase,Signal transduction mechanisms,Q31N22,Op1140
Synpcc7942_1518,pcrA,CP000100.1,,1568627,1570927,+,ATP-dependent helicase PcrA,"Replication, recombination and repair",Q31N21,Op1141
Synpcc7942_1519,hisD,CP000100.1,,1570976,1572280,-,histidinol dehydrogenase,Amino acid transport and metabolism,Q31N20,Op1142
Synpcc7942_1520,rpsT,CP000100.1,,1572486,1572782,+,SSU ribosomal protein S20P,"Translation, ribosomal structure and biogenesis",Q31N19,Op1143
Synpcc7942_1521,tatD,CP000100.1,,1572849,1573646,+,Sec-independent protein translocase TatD,"Replication, recombination and repair",Q31N18,Op1144
Synpcc7942_1522,rpoB,CP000100.1,,1573729,1577031,+,DNA-directed RNA polymerase%2C beta subunit,Transcription,Q31N17,Op1145
Synpcc7942_1523,rpoC1,CP000100.1,,1577150,1579024,+,DNA-directed RNA polymerase,Transcription,P42079,Op1146
Synpcc7942_1524,rpoC2,CP000100.1,,1579094,1583050,+,DNA-directed RNA polymerase,Transcription,Q31N15,Op1147
Synpcc7942_1525,typA,CP000100.1,,1583407,1585200,+,GTP-binding protein TypA,Signal transduction mechanisms,Q31N14,Op1148
Synpcc7942_1526,Synpcc7942_1526,CP000100.1,,1585287,1586078,+,conserved hypothetical protein,Function unknown,Q31N13,Op1149
Synpcc7942_1527,Synpcc7942_1527,CP000100.1,,1586243,1588759,+,nitrogen assimilation regulatory protein,Energy production and conversion,Q31N12,Op1150
Synpcc7942_1528,Synpcc7942_1528,CP000100.1,,1588817,1589146,-,conserved hypothetical protein YCF49,Function unknown,Q31N11,Op1151
Synpcc7942_1529,Synpcc7942_1529,CP000100.1,,1589204,1590223,+,conserved hypothetical protein,Function unknown,Q31N10,Op1152
Synpcc7942_1530,modC,CP000100.1,,1590283,1590708,-,molybdenum-pterin binding domain,Coenzyme transport and metabolism,Q31N09,Op1153
Synpcc7942_1531,modA,CP000100.1,,1590799,1591614,+,molybdenum ABC transporter%2C periplasmic molybdate-binding protein,Inorganic ion transport and metabolism,Q31N08,Op1154
Synpcc7942_1532,modB,CP000100.1,,1591611,1592276,+,Molybdate ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Q31N07,Op1154
Synpcc7942_1533,sdhB,CP000100.1,,1592254,1593093,+,succinate dehydrogenase subunit B,Energy production and conversion,Q31N06,Op1155
Synpcc7942_1534,Synpcc7942_1534,CP000100.1,,1593215,1595422,+,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31N05,Op1156
Synpcc7942_1535,rbcX,CP000100.1,,1595486,1595944,+,possible Rubisco chaperonin,Function unknown,Q31N04,Op1157
Synpcc7942_1536,Synpcc7942_1536,CP000100.1,,1595934,1596614,+,probable amidotransferase,Nucleotide transport and metabolism,Q31N03,Op1157
Synpcc7942_1537,Synpcc7942_1537,CP000100.1,,1596668,1596877,+,hypothetical protein,No COG annotation,Q31N02,Op1158
Synpcc7942_1538,Synpcc7942_1538,CP000100.1,,1596968,1597366,+,conserved hypothetical protein,No COG annotation,Q31N01,Op1159
Synpcc7942_1539,-,CP000100.1,,1597516,1597818,-,conserved hypothetical protein,No COG annotation,Q31N00,Op1160
Synpcc7942_1540,-,CP000100.1,,1597856,1598566,-,conserved hypothetical protein,Lipid transport and metabolism,Q31MZ9,Op1161
Synpcc7942_1541,isiB,CP000100.1,,1598656,1599168,-,Flavodoxin%2C long chain,Energy production and conversion,P10340,Op1162
Synpcc7942_1542,isiA,CP000100.1,,1599353,1600381,-,iron-stress chlorophyll-binding protein,Function unknown,P15347,Op1162
Synpcc7942_1543,Synpcc7942_1543,CP000100.1,,1600652,1600777,+,putative ribonuclease II,No COG annotation,Q31MZ6,Op1163
Synpcc7942_1544,Synpcc7942_1544,CP000100.1,,1600802,1601053,+,panthotenate metabolism flavoprotein,Function unknown,Q31MZ5,Op1164
Synpcc7942_1545,Synpcc7942_1545,CP000100.1,,1601056,1601511,+,plasmid stabilization protein StbB-like,Function unknown,Q31MZ4,Op1164
Synpcc7942_1546,rnb2,CP000100.1,,1601489,1602886,+,putative ribonuclease II,Transcription,Q31MZ3,Op1165
Synpcc7942_1547,Synpcc7942_1547,CP000100.1,,1603035,1603415,-,hypothetical protein,No COG annotation,Q31MZ2,Op1166
Synpcc7942_1548,Synpcc7942_1548,CP000100.1,,1604319,1605638,-,probable amidase,Energy production and conversion,Q31MZ1,Op1167
Synpcc7942_1549,umuD,CP000100.1,,1606129,1606689,+,UmuD protein. Serine peptidase. MEROPS family S24,"Replication, recombination and repair",Q31MZ0,Op1168
Synpcc7942_1550,umuC,CP000100.1,,1606746,1608002,+,DNA-directed DNA polymerase,"Replication, recombination and repair",Q31MY9,Op1169
Synpcc7942_1551,Synpcc7942_1551,CP000100.1,,1608052,1608816,+,conserved hypothetical protein,No COG annotation,Q31MY8,Op1170
Synpcc7942_1552,ilvC,CP000100.1,,1609373,1610356,-,ketol-acid reductoisomerase,Coenzyme transport and metabolism,Q31MY7,Op1171
Synpcc7942_1553,Synpcc7942_1553,CP000100.1,,1610364,1611257,+,Phosphoesterase PHP-like,Function unknown,Q31MY6,Op1172
Synpcc7942_1554,clpP1,CP000100.1,,1611260,1611853,-,ATP-dependent Clp protease proteolytic subunit ClpP,"Post-translational modification, protein turnover, and chaperones",P54415,Op1173
Synpcc7942_1555,Synpcc7942_1555,CP000100.1,,1611906,1612748,+,conserved hypothetical protein,Function unknown,Q31MY4,Op1174
Synpcc7942_1556,Synpcc7942_1556,CP000100.1,,1612870,1613448,+,conserved hypothetical protein,No COG annotation,Q31MY3,Op1175
Synpcc7942_1557,rpoA6,CP000100.1,,1613464,1614396,-,principal RNA polymerase sigma factor SigA,Transcription,Q31MY2,Op1176
Synpcc7942_1558,Synpcc7942_1558,CP000100.1,,1615204,1616271,+,conserved hypothetical protein,No COG annotation,Q31MY1,Op1177
Synpcc7942_1559,Synpcc7942_1559,CP000100.1,,1616284,1616958,+,conserved hypothetical protein,No COG annotation,Q31MY0,Op1177
Synpcc7942_1560,Synpcc7942_1560,CP000100.1,,1617134,1617292,+,conserved hypothetical protein,No COG annotation,Q31MX9,Op1178
Synpcc7942_1561,Synpcc7942_1561,CP000100.1,,1618181,1618687,-,conserved hypothetical protein,No COG annotation,Q31MX8,Op1179
Synpcc7942_1562,draG,CP000100.1,,1618800,1619696,-,ADP-ribosylglycohydrolase-like,"Post-translational modification, protein turnover, and chaperones",Q31MX7,Op1180
Synpcc7942_1563,Synpcc7942_1563,CP000100.1,,1621096,1621512,-,signal transduction inhibitor,No COG annotation,Q31MX6,Op1181
Synpcc7942_1564,Synpcc7942_1564,CP000100.1,,1621903,1622220,+,conserved hypothetical protein,No COG annotation,Q31MX5,Op1182
Synpcc7942_1565,Synpcc7942_1565,CP000100.1,,1622970,1623410,+,conserved hypothetical protein,Function unknown,Q31MX4,Op1183
Synpcc7942_1566,ppk,CP000100.1,,1623449,1625644,+,Polyphosphate kinase,Coenzyme transport and metabolism,Q31MX3,Op1183
Synpcc7942_1567,Synpcc7942_1567,CP000100.1,,1625702,1626019,-,possible ribosomal protein L36,No COG annotation,Q31MX2,Op1184
Synpcc7942_1568,Synpcc7942_1568,CP000100.1,,1626357,1626596,-,conserved hypothetical protein,No COG annotation,Q31MX1,Op1185
Synpcc7942_1569,Synpcc7942_1569,CP000100.1,,1626654,1627115,-,conserved hypothetical protein,Function unknown,Q31MX0,Op1186
Synpcc7942_1570,pacS,CP000100.1,,1627206,1629449,-,Heavy metal translocating P-type ATPase,Inorganic ion transport and metabolism,P37279,Op1187
Synpcc7942_1571,Synpcc7942_1571,CP000100.1,,1630063,1630872,+,MIP family channel proteins,"Intracellular trafficking, secretion, and vesicular transport",Q79PG0,Op1188
Synpcc7942_1572,Synpcc7942_1572,CP000100.1,,1631339,1632925,+,dehydrogenase subunit-like protein,Amino acid transport and metabolism,Q31MW7,Op1189
Synpcc7942_1573,dhg2,CP000100.1,,1632994,1633794,+,3-oxoacyl-(acyl-carrier protein) reductase,Lipid transport and metabolism,Q8KPV3,Op1190
Synpcc7942_1574,Synpcc7942_1574,CP000100.1,,1633895,1636567,+,probable glucosidase,Cell wall/membrane/envelope biogenesis,Q31MW5,Op1191
Synpcc7942_1575,malQ,CP000100.1,,1636580,1638625,+,Glycogen debranching enzyme,Carbohydrate transport and metabolism,Q8KPV1,Op1191
Synpcc7942_1576,Synpcc7942_1576,CP000100.1,,1638668,1640059,+,putative chloride channel protein%2C CIC family,Inorganic ion transport and metabolism,Q8KPV0,Op1192
Synpcc7942_1577,argS,CP000100.1,,1640261,1642033,-,arginyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q8KPU9,Op1193
Synpcc7942_1578,tatC,CP000100.1,,1642172,1643011,-,Sec-independent protein translocase TatC,"Intracellular trafficking, secretion, and vesicular transport",Q8KPU8,Op1194
Synpcc7942_1579,Synpcc7942_1579,CP000100.1,,1643490,1643957,+,dual specificity protein phosphatase,No COG annotation,Q31MW0,Op1195
Synpcc7942_1580,Synpcc7942_1580,CP000100.1,,1644011,1644436,-,hypothetical protein,No COG annotation,Q31MV9,Op1196
Synpcc7942_1581,Synpcc7942_1581,CP000100.1,,1645142,1646821,+,Peptidase M14%2C carboxypeptidase A,No COG annotation,Q8KPU3,Op1197
Synpcc7942_1582,trmE,CP000100.1,,1646823,1648211,-,tRNA modification GTPase trmE,"Translation, ribosomal structure and biogenesis",Q8KPU2,Op1198
Synpcc7942_1583,Synpcc7942_1583,CP000100.1,,1648210,1648746,+,conserved hypothetical protein,Function unknown,Q31MV6,Op1199
Synpcc7942_1584,Synpcc7942_1584,CP000100.1,,1648682,1650160,-,conserved hypothetical protein,Function unknown,Q8KPU0,Op1200
Synpcc7942_1585,ampD1,CP000100.1,,1650201,1650986,-,N-acetylmuramoyl-L-alanine amidase%2C family 2,Defense mechanisms,Q31MV4,Op1200
Synpcc7942_1586,Synpcc7942_1586,CP000100.1,,1651359,1652669,+,periplasmic sensor signal transduction histidine kinase,Signal transduction mechanisms,Q8KPT8,Op1201
Synpcc7942_1587,Synpcc7942_1587,CP000100.1,,1652732,1653172,-,integral membrane protein-like,No COG annotation,Q8KPT7,Op1202
Synpcc7942_1588,Synpcc7942_1588,CP000100.1,,1653255,1655834,-,CBS,Inorganic ion transport and metabolism,Q31MV1,Op1203
Synpcc7942_1589,pmbA2,CP000100.1,,1655981,1657270,-,putative modulator of DNA gyrase,Function unknown,Q31MV0,Op1204
Synpcc7942_1590,Synpcc7942_1590,CP000100.1,,1657274,1658131,-,conserved hypothetical protein,Function unknown,Q79PG5,Op1204
Synpcc7942_1591,rpsA2,CP000100.1,,1658135,1659022,-,RNA binding S1,"Translation, ribosomal structure and biogenesis",O33698,Op1204
Synpcc7942_1592,camH,CP000100.1,,1659119,1659934,+,creatinine amidohydrolase,Function unknown,O33699,Op1205
Synpcc7942_1593,Synpcc7942_1593,CP000100.1,,1660025,1660720,+,conserved hypothetical protein,Coenzyme transport and metabolism,Q54764,Op1206
Synpcc7942_1594,Synpcc7942_1594,CP000100.1,,1660735,1661760,+,conserved hypothetical protein,Function unknown,Q54765,Op1206
Synpcc7942_1595,accA,CP000100.1,,1661770,1662753,+,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,Lipid transport and metabolism,Q54766,Op1206
Synpcc7942_1596,Synpcc7942_1596,CP000100.1,,1662871,1663608,+,probable short-chain dehydrogenase,Function unknown,Q54767,Op1207
Synpcc7942_1597,folE,CP000100.1,,1663657,1664298,+,GTP cyclohydrolase,Coenzyme transport and metabolism,Q54769,Op1207
Synpcc7942_1598,Synpcc7942_1598,CP000100.1,,1664306,1665100,+,Phenazine biosynthesis PhzC/PhzF protein,Function unknown,Q31MU1,Op1207
Synpcc7942_1599,Synpcc7942_1599,CP000100.1,,1665097,1666182,+,conserved hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q31MU0,Op1207
Synpcc7942_1600,apa2,CP000100.1,,1666188,1667030,+,5'%2C5'''-P-1%2CP-4-tetraphosphate phosphorylase II-like,Nucleotide transport and metabolism,Q31MT9,Op1207
Synpcc7942_1601,-,CP000100.1,,1667058,1667231,-,conserved hypothetical protein,Function unknown,Q31MT8,Op1208
Synpcc7942_1602,trmH3,CP000100.1,,1667296,1668033,+,RNA methyltransferase TrmH%2C group 1,"Translation, ribosomal structure and biogenesis",Q31MT7,Op1209
Synpcc7942_1603,ampC,CP000100.1,,1668136,1669263,+,beta-lactamase,Defense mechanisms,Q31MT6,Op1210
Synpcc7942_1604,Synpcc7942_1604,CP000100.1,,1669273,1670625,+,conserved hypothetical protein,Cell motility,Q31MT5,Op1210
Synpcc7942_1605,Synpcc7942_1605,CP000100.1,,1670630,1671208,-,conserved hypothetical protein,No COG annotation,Q31MT4,Op1211
Synpcc7942_1606,Synpcc7942_1606,CP000100.1,,1671451,1672011,+,Beta-Ig-H3/fasciclin,Cell wall/membrane/envelope biogenesis,Q31MT3,Op1212
Synpcc7942_1607,somA(2),CP000100.1,,1672123,1673679,-,probable porin%3B major outer membrane protein,Cell wall/membrane/envelope biogenesis,Q9KHA8,Op1213
Synpcc7942_1608,manC,CP000100.1,,1673935,1675344,+,mannose-1-phosphate guanylyltransferase (GDP),Cell wall/membrane/envelope biogenesis,Q31MT1,Op1214
Synpcc7942_1609,nrdJ,CP000100.1,,1675456,1678869,+,Protein splicing (intein) site,Energy production and conversion,Q31MT0,Op1215
Synpcc7942_1610,pntB,CP000100.1,,1678977,1680389,-,pyridine nucleotide transhydrogenase beta subunit,Energy production and conversion,Q31MS9,Op1216
Synpcc7942_1611,Synpcc7942_1611,CP000100.1,,1680389,1680682,-,nicotinamide nucleotide transhydrogenase alpha subunit-like,Energy production and conversion,Q31MS8,Op1216
Synpcc7942_1612,pntA,CP000100.1,,1680679,1681905,-,pyridine nucleotide transhydrogenase alpha subunit,Energy production and conversion,Q31MS7,Op1216
Synpcc7942_1613,Synpcc7942_1613,CP000100.1,,1682042,1682617,+,conserved hypothetical protein,Function unknown,Q31MS6,Op1217
Synpcc7942_1614,rpmH,CP000100.1,,1682665,1682802,+,LSU ribosomal protein L34P,"Translation, ribosomal structure and biogenesis",Q31MS5,Op1218
Synpcc7942_1615,rnpA,CP000100.1,,1682808,1683176,+,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",Q31MS4,Op1218
Synpcc7942_1616,Synpcc7942_1616,CP000100.1,,1683163,1683549,+,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31MS3,Op1218
Synpcc7942_1617,Synpcc7942_1617,CP000100.1,,1683752,1684930,+,inner membrane protein-like,"Intracellular trafficking, secretion, and vesicular transport",Q31MS2,Op1219
Synpcc7942_1618,Synpcc7942_1618,CP000100.1,,1684927,1685433,+,Single-stranded nucleic acid binding R3H,Function unknown,Q31MS1,Op1219
Synpcc7942_1619,Synpcc7942_1619,CP000100.1,,1685436,1685942,+,metal-binding possibly nucleic acid-binding protein-like,Function unknown,Q31MS0,Op1219
Synpcc7942_1620,Synpcc7942_1620,CP000100.1,,1685939,1687444,+,ATPase,"Post-translational modification, protein turnover, and chaperones",Q31MR9,Op1219
Synpcc7942_1621,Synpcc7942_1621,CP000100.1,,1687584,1689152,-,Elongator protein 3/MiaB/NifB,Energy production and conversion,Q31MR8,Op1220
Synpcc7942_1622,Synpcc7942_1622,CP000100.1,,1689721,1692192,+,probable proteinase,"Post-translational modification, protein turnover, and chaperones",Q31MR7,Op1221
Synpcc7942_1623,Synpcc7942_1623,CP000100.1,,1692265,1692957,+,conserved hypothetical protein,No COG annotation,Q31MR6,Op1222
Synpcc7942_1624,ribC,CP000100.1,,1692985,1693719,-,riboflavin synthase%2C alpha subunit,Coenzyme transport and metabolism,Q31MR5,Op1223
Synpcc7942_1625,Synpcc7942_1625,CP000100.1,,1693698,1694921,-,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31MR4,Op1224
Synpcc7942_1626,Synpcc7942_1626,CP000100.1,,1695068,1695550,-,conserved hypothetical protein,No COG annotation,Q31MR3,Op1225
Synpcc7942_1627,Synpcc7942_1627,CP000100.1,,1695554,1696852,-,hypothetical protein,Function unknown,Q31MR2,Op1225
Synpcc7942_1628,Synpcc7942_1628,CP000100.1,,1697252,1697971,+,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Q31MR1,Op1226
Synpcc7942_1629,Synpcc7942_1629,CP000100.1,,1698071,1698712,+,conserved hypothetical protein,No COG annotation,Q31MR0,Op1227
Synpcc7942_1630,petJ2,CP000100.1,,1698933,1699268,+,cytochrome c553,Energy production and conversion,P25935,Op1228
Synpcc7942_1631,Synpcc7942_1631,CP000100.1,,1699269,1700168,+,TPR repeat,Function unknown,Q31MQ8,Op1228
Synpcc7942_1632,Synpcc7942_1632,CP000100.1,,1700263,1700772,+,conserved hypothetical protein,No COG annotation,Q31MQ7,Op1229
Synpcc7942_1633,Synpcc7942_1633,CP000100.1,,1701369,1702091,+,conserved hypothetical protein,No COG annotation,Q31MQ6,Op1230
Synpcc7942_1634,Synpcc7942_1634,CP000100.1,,1702113,1702652,-,conserved hypothetical protein,Nucleotide transport and metabolism,Q31MQ5,Op1231
Synpcc7942_1635,somB(2),CP000100.1,,1702823,1704469,-,probable porin%3B major outer membrane protein,Lipid transport and metabolism,Q31MQ4,Op1232
Synpcc7942_1636,phhB,CP000100.1,,1704606,1705013,-,pterin-4-alpha-carbinolamine dehydratase,Coenzyme transport and metabolism,Q31MQ3,Op1233
Synpcc7942_1637,psbD2,CP000100.1,,1705426,1706484,-,photosystem II D2 protein (photosystem q(a) protein),Energy production and conversion,P11005,Op1234
Synpcc7942_1638,Synpcc7942_1638,CP000100.1,,1706685,1706951,+,conserved hypothetical protein,Function unknown,Q31MQ1,Op1235
Synpcc7942_1639,Synpcc7942_1639,CP000100.1,,1707135,1707776,+,ATPase,Inorganic ion transport and metabolism,Q31MQ0,Op1236
Synpcc7942_1640,Synpcc7942_1640,CP000100.1,,1707881,1708414,+,conserved hypothetical protein,Function unknown,Q31MP9,Op1237
Synpcc7942_1641,Synpcc7942_1641,CP000100.1,,1708665,1709165,+,hypothetical protein,No COG annotation,Q31MP8,Op1238
Synpcc7942_1642,Synpcc7942_1642,CP000100.1,,1709180,1710250,+,conserved hypothetical protein,Function unknown,Q31MP7,Op1238
Synpcc7942_1643,Synpcc7942_1643,CP000100.1,,1710353,1711873,+,diguanylate cyclase with GAF sensor,No COG annotation,Q31MP6,Op1239
Synpcc7942_1644,Synpcc7942_1644,CP000100.1,,1712014,1712817,+,conserved hypothetical protein,Function unknown,Q31MP5,Op1240
Synpcc7942_1645,rnc1,CP000100.1,,1713332,1714075,+,RNAse III,"Translation, ribosomal structure and biogenesis",Q31MP4,Op1241
Synpcc7942_1646,Synpcc7942_1646,CP000100.1,,1714348,1715070,+,conserved hypothetical protein,No COG annotation,Q31MP3,Op1242
Synpcc7942_1647,Synpcc7942_1647,CP000100.1,,1715266,1716186,+,conserved hypothetical protein,Lipid transport and metabolism,Q31MP2,Op1243
Synpcc7942_1648,Synpcc7942_1648,CP000100.1,,1716189,1716638,-,putative ferric uptake regulator%2C FUR family,Transcription,Q31MP1,Op1244
Synpcc7942_1649,rbr,CP000100.1,,1716788,1717504,+,rubrerythrin,Energy production and conversion,Q31MP0,Op1245
Synpcc7942_1650,Synpcc7942_1650,CP000100.1,,1717707,1720946,-,phosphorylase kinase alpha subunit,Carbohydrate transport and metabolism,Q31MN9,Op1246
Synpcc7942_1651,Synpcc7942_1651,CP000100.1,,1721058,1721795,+,N-acetylmannosaminyltransferase,Cell wall/membrane/envelope biogenesis,Q31MN8,Op1247
Synpcc7942_1652,Synpcc7942_1652,CP000100.1,,1721792,1723432,+,Elongator protein 3/MiaB/NifB,Energy production and conversion,Q31MN7,Op1247
Synpcc7942_1653,Synpcc7942_1653,CP000100.1,,1723540,1724736,-,glycerol dehydrogenase,Energy production and conversion,Q31MN6,Op1248
Synpcc7942_1654,Synpcc7942_1654,CP000100.1,,1724849,1725232,-,conserved hypothetical protein,No COG annotation,Q31MN5,Op1249
Synpcc7942_1655,Synpcc7942_1655,CP000100.1,,1725260,1725829,-,hypothetical protein,No COG annotation,Q31MN4,Op1249
Synpcc7942_1656,katG,CP000100.1,,1725919,1728081,-,catalase/peroxidase HPI,Coenzyme transport and metabolism,Q31MN3,Op1250
Synpcc7942_1657,Synpcc7942_1657,CP000100.1,,1728453,1728674,+,hypothetical protein,No COG annotation,Q31MN2,Op1251
Synpcc7942_1658,Synpcc7942_1658,CP000100.1,,1728788,1729246,-,conserved hypothetical protein,Function unknown,Q31MN1,Op1252
Synpcc7942_1659,Synpcc7942_1659,CP000100.1,,1729384,1730031,+,nitroreductase,Energy production and conversion,Q31MN0,Op1253
Synpcc7942_1660,kef,CP000100.1,,1730131,1730964,+,potassium channel protein,"Translation, ribosomal structure and biogenesis",Q31MM9,Op1254
Synpcc7942_1661,Synpcc7942_1661,CP000100.1,,1731159,1731722,+,conserved hypothetical protein,No COG annotation,Q31MM8,Op1255
Synpcc7942_1662,cysS,CP000100.1,,1731811,1733247,-,cysteinyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q31MM7,Op1256
Synpcc7942_1663,Synpcc7942_1663,CP000100.1,,1733401,1733760,-,conserved hypothetical protein,No COG annotation,Q31MM6,Op1257
Synpcc7942_1664,Synpcc7942_1664,CP000100.1,,1733790,1733984,+,hypothetical protein,No COG annotation,Q31MM5,Op1258
Synpcc7942_1665,Synpcc7942_1665,CP000100.1,,1733989,1735104,+,probable oxidoreductase,Function unknown,Q31MM4,Op1258
Synpcc7942_1666,Synpcc7942_1666,CP000100.1,,1735155,1735859,-,conserved hypothetical protein,Function unknown,Q31MM3,Op1259
Synpcc7942_1667,murD,CP000100.1,,1735965,1737356,+,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,Q31MM2,Op1260
Synpcc7942_1668,kdpA,CP000100.1,,1737882,1739552,+,potassium-transporting ATPase%2C A subunit,Inorganic ion transport and metabolism,Q31MM1,Op1261
Synpcc7942_1669,kdpB,CP000100.1,,1739595,1741685,+,Potassium-translocating P-type ATPase%2C B subunit,Inorganic ion transport and metabolism,Q31MM0,Op1261
